"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-22","NYK",90,109,32,48,0.6666666666666666,11,30,0.36666666666666664,0.36666666666666664,12,24,40,24,9,0.375,0.375,0.7272727272727273,0.38461538461538464,0.48536346153846155,0.6217948717948718,0.6488095238095238,0,3,0.0625,0,0
"2024-10-24","WAS",103,102,34,59,0.576271186440678,7,36,0.19444444444444445,0.19444444444444445,13,46,22,12,9,0.6764705882352942,0.7666666666666667,0.5714285714285714,0.37894736842105264,0.5334842105263158,0.46842105263157896,0.49514563106796117,8,3,0.05084745762711865,0,0
"2024-10-26","DET",96,118,29,49,0.5918367346938775,14,39,0.358974358974359,0.3783783783783784,18,32,26,33,9,0.5517241379310345,0.64,0.7857142857142857,0.4431818181818182,0.5125459302325581,0.5681818181818182,0.6020408163265306,8,6,0.12244897959183673,0,0
"2024-10-28","MIL",100,108,29,51,0.5686274509803921,8,31,0.25806451612903225,0.25806451612903225,26,24,34,18,6,0.41379310344827586,0.4444444444444444,0.75,0.3780487804878049,0.5268682926829269,0.5,0.5698924731182796,4,3,0.058823529411764705,2,0.06451612903225806
"2024-10-30","IND",116,135,35,66,0.5303030303030303,15,38,0.39473684210526316,0.40540540540540543,20,38,32,42,3,0.5428571428571428,0.59375,0.9333333333333333,0.36538461538461536,0.5279436893203884,0.5528846153846154,0.5818965517241379,6,4,0.06060606060606061,1,0.02631578947368421
"2024-11-01","CHA",95,109,23,43,0.5348837209302325,19,48,0.3958333333333333,0.3958333333333333,6,14,32,39,18,0.30434782608695654,0.35,0.6842105263157895,0.5274725274725275,0.5743483516483516,0.5659340659340659,0.5677083333333334,6,4,0.09302325581395349,1,0.020833333333333332
"2024-11-02","CHA",95,103,23,49,0.46938775510204084,17,42,0.40476190476190477,0.40476190476190477,6,18,28,45,6,0.391304347826087,0.42857142857142855,0.8823529411764706,0.46153846153846156,0.5345752747252747,0.532967032967033,0.5364583333333334,4,3,0.061224489795918366,1,0.023809523809523808
"2024-11-04","ATL",103,93,31,58,0.5344827586206896,6,31,0.1935483870967742,0.2,13,34,28,18,0,0.5483870967741935,0.6071428571428571,1,0.34831460674157305,0.5564637931034483,0.449438202247191,0.48947368421052634,6,6,0.10344827586206896,1,0.03225806451612903
"2024-11-06","GSW",96,118,28,57,0.49122807017543857,14,34,0.4117647058823529,0.4117647058823529,20,24,32,30,12,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.37362637362637363,0.5366912087912088,0.5384615384615384,0.585,12,3,0.05263157894736842,0,0
"2024-11-08","BKN",101,104,31,62,0.5,10,38,0.2631578947368421,0.2631578947368421,12,36,26,18,12,0.5806451612903226,0.6428571428571429,0.6,0.38,0.5126285,0.46,0.4858490566037736,6,8,0.12903225806451613,1,0.02631578947368421
"2024-11-10","MIL",97,107,26,49,0.5306122448979592,13,32,0.40625,0.40625,16,20,32,33,6,0.38461538461538464,0.4166666666666667,0.8461538461538461,0.3950617283950617,0.5404302469135802,0.5617283950617284,0.5955056179775281,4,2,0.04081632653061224,0,0
"2024-11-12","ATL",99,117,40,68,0.5882352941176471,10,32,0.3125,0.3225806451612903,7,52,28,27,3,0.65,0.6842105263157895,0.9,0.32,0.5231868686868687,0.55,0.5518867924528302,4,3,0.04411764705882353,2,0.0625
"2024-11-13","BKN",95,114,21,36,0.5833333333333334,19,43,0.4418604651162791,0.4418604651162791,15,22,20,45,12,0.5238095238095238,0.55,0.7894736842105263,0.5443037974683544,0.5582311688311689,0.6265822784810127,0.6494252873563219,2,5,0.1388888888888889,1,0.023255813953488372
"2024-11-16","TOR",97,123,41,75,0.5466666666666666,9,23,0.391304347826087,0.391304347826087,14,56,26,21,6,0.6829268292682927,0.7777777777777778,0.7777777777777778,0.23469387755102042,0.5032938775510204,0.5561224489795918,0.5747663551401869,10,6,0.08,0,0
"2024-11-19","CLE",94,117,36,64,0.5625,10,29,0.3448275862068966,0.3448275862068966,15,44,28,24,6,0.6111111111111112,0.6470588235294118,0.8,0.3118279569892473,0.5079833333333333,0.5483870967741935,0.5792079207920792,4,4,0.0625,0,0
"2024-11-22","WAS",102,96,32,62,0.5161290322580645,7,28,0.25,0.25,11,26,38,18,3,0.40625,0.43333333333333335,0.8571428571428571,0.3111111111111111,0.5200372222222223,0.4722222222222222,0.5,4,6,0.0967741935483871,1,0.03571428571428571
"2024-11-24","MIN",90,105,22,47,0.46808510638297873,15,41,0.36585365853658536,0.36585365853658536,16,20,24,27,18,0.45454545454545453,0.5263157894736842,0.6,0.4659090909090909,0.5268971590909092,0.5056818181818182,0.5357142857142857,6,6,0.1276595744680851,1,0.024390243902439025
"2024-11-25","LAC",97,94,32,64,0.5,7,26,0.2692307692307692,0.2692307692307692,9,28,36,12,9,0.4375,0.4827586206896552,0.5714285714285714,0.28888888888888886,0.49712333333333336,0.4722222222222222,0.4895833333333333,6,10,0.15625,1,0.038461538461538464
