"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","HOU",96,105,25,60,0.4166666666666667,13,43,0.3023255813953488,0.30952380952380953,16,22,28,24,15,0.44,0.5,0.6153846153846154,0.4174757281553398,0.5273254901960784,0.4320388349514563,0.47297297297297297,6,10,0.16666666666666666,0,0
"2024-10-25","ATL",103,125,25,43,0.5813953488372093,14,38,0.3684210526315789,0.3783783783783784,33,28,22,33,9,0.56,0.6086956521739131,0.7857142857142857,0.4691358024691358,0.556466875,0.5679012345679012,0.6262626262626263,4,4,0.09302325581395349,0,0
"2024-10-26","MIA",97,114,26,52,0.5,14,34,0.4117647058823529,0.4117647058823529,20,40,12,39,3,0.7692307692307693,0.7692307692307693,0.9285714285714286,0.3953488372093023,0.5490593023255813,0.5465116279069767,0.5876288659793815,0,5,0.09615384615384616,0,0
"2024-10-30","TOR",101,133,43,63,0.6825396825396826,9,28,0.32142857142857145,0.3333333333333333,20,56,30,27,0,0.6511627906976745,0.7567567567567568,1,0.3076923076923077,0.582175,0.6208791208791209,0.6333333333333333,12,7,0.1111111111111111,1,0.03571428571428571
"2024-11-01","BOS",96,124,28,44,0.6363636363636364,13,42,0.30952380952380953,0.30952380952380953,29,22,34,30,9,0.39285714285714285,0.4230769230769231,0.7692307692307693,0.4883720930232558,0.5747058139534884,0.5523255813953488,0.61,4,5,0.11363636363636363,0,0
"2024-11-02","BOS",96,113,20,30,0.6666666666666666,16,52,0.3076923076923077,0.3076923076923077,25,22,18,36,12,0.55,0.55,0.75,0.6341463414634146,0.5598134146341464,0.5365853658536586,0.601063829787234,0,1,0.03333333333333333,0,0
"2024-11-04","MIN",97,114,21,41,0.5121951219512195,18,38,0.47368421052631576,0.47368421052631576,18,18,24,42,12,0.42857142857142855,0.5,0.7777777777777778,0.4810126582278481,0.577273417721519,0.6075949367088608,0.6195652173913043,6,1,0.024390243902439025,0,0
"2024-11-06","DET",100,107,36,62,0.5806451612903226,10,32,0.3125,0.3125,5,48,24,30,0,0.6666666666666666,0.6857142857142857,1,0.3404255319148936,0.5600345744680851,0.5425531914893617,0.5459183673469388,2,4,0.06451612903225806,0,0
"2024-11-08","IND",94,83,24,54,0.4444444444444444,9,29,0.3103448275862069,0.3103448275862069,8,30,18,27,0,0.625,0.7142857142857143,1,0.3493975903614458,0.6077066265060241,0.45180722891566266,0.47701149425287354,6,6,0.1111111111111111,1,0.034482758620689655
"2024-11-10","PHI",104,107,30,51,0.5882352941176471,9,33,0.2727272727272727,0.28125,20,32,28,24,3,0.5333333333333333,0.5517241379310345,0.8888888888888888,0.39285714285714285,0.5293361445783132,0.5178571428571429,0.5572916666666666,2,4,0.0784313725490196,1,0.030303030303030304
