"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","NOP",107,123,31,60,0.5166666666666667,14,37,0.3783783783783784,0.3888888888888889,19,38,24,30,12,0.6129032258064516,0.6551724137931034,0.7142857142857143,0.38144329896907214,0.5546635416666666,0.5360824742268041,0.5801886792452831,4,2,0.03333333333333333,0,0
"2024-10-25","MIL",107,122,33,53,0.6226415094339622,13,40,0.325,0.325,17,24,42,36,3,0.36363636363636365,0.4,0.9230769230769231,0.43010752688172044,0.5514177419354839,0.5645161290322581,0.5865384615384616,6,3,0.05660377358490566,1,0.025
"2024-10-26","OKC",115,114,37,67,0.5522388059701493,8,40,0.2,0.2,16,30,44,18,6,0.40540540540540543,0.45454545454545453,0.75,0.37383177570093457,0.6083238317757009,0.45794392523364486,0.5,8,2,0.029850746268656716,0,0
"2024-10-28","MEM",103,123,37,68,0.5441176470588235,14,43,0.32558139534883723,0.32558139534883723,7,52,22,33,9,0.7027027027027027,0.7428571428571429,0.7857142857142857,0.38738738738738737,0.5741109090909091,0.5225225225225225,0.5256410256410257,4,6,0.08823529411764706,0,0
"2024-10-30","ORL",100,99,24,40,0.6,11,46,0.2391304347826087,0.2391304347826087,18,30,18,30,3,0.625,0.625,0.9090909090909091,0.5348837209302325,0.5894870588235295,0.47093023255813954,0.5210526315789473,0,2,0.05,0,0
"2024-11-01","BKN",101,120,38,58,0.6551724137931034,11,36,0.3055555555555556,0.3055555555555556,11,50,26,27,6,0.6578947368421053,0.7575757575757576,0.8181818181818182,0.3829787234042553,0.5750739361702127,0.5797872340425532,0.6,10,3,0.05172413793103448,0,0
"2024-11-04","UTA",102,135,32,53,0.6037735849056604,16,36,0.4444444444444444,0.4444444444444444,23,42,22,42,6,0.65625,0.7777777777777778,0.875,0.4044943820224719,0.5794825842696629,0.6292134831460674,0.6553398058252428,10,6,0.11320754716981132,1,0.027777777777777776
"2024-11-06","DAL",107,119,33,55,0.6,12,38,0.3157894736842105,0.3157894736842105,17,42,24,36,0,0.6363636363636364,0.7241379310344828,1,0.40860215053763443,0.5856612903225806,0.5483870967741935,0.5833333333333334,8,2,0.03636363636363636,0,0
"2024-11-07","MIN",98,135,35,56,0.625,16,38,0.42105263157894735,0.42105263157894735,17,36,34,33,15,0.5142857142857142,0.6,0.6875,0.40425531914893614,0.5911675531914894,0.6276595744680851,0.67,10,4,0.07142857142857142,0,0
"2024-11-09","ATL",106,113,32,60,0.5333333333333333,9,29,0.3103448275862069,0.3103448275862069,22,48,16,21,6,0.75,0.8275862068965517,0.7777777777777778,0.3258426966292135,0.5749612359550562,0.5112359550561798,0.5485436893203883,6,6,0.1,0,0
