"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","TOR",100,106,24,55,0.43636363636363634,12,31,0.3870967741935484,0.4,22,30,18,30,6,0.625,0.6818181818181818,0.8333333333333334,0.36046511627906974,0.5178488235294118,0.4883720930232558,0.53,4,9,0.16363636363636364,0,0
"2024-10-25","DET",98,101,25,49,0.5102040816326531,13,32,0.40625,0.40625,12,24,26,39,0,0.48,0.5,1,0.3950617283950617,0.5588030864197531,0.5493827160493827,0.5689655172413793,2,4,0.08163265306122448,0,0
"2024-10-26","WAS",104,116,22,53,0.41509433962264153,15,43,0.3488372093023256,0.3488372093023256,27,26,18,36,9,0.5909090909090909,0.65,0.8,0.4479166666666667,0.5290380208333333,0.4635416666666667,0.5225225225225225,4,10,0.18867924528301888,0,0
"2024-10-28","NYK",95,104,31,62,0.5,9,28,0.32142857142857145,0.32142857142857145,15,26,36,27,0,0.41935483870967744,0.48148148148148145,1,0.3111111111111111,0.5584794444444445,0.49444444444444446,0.5255102040816326,8,5,0.08064516129032258,0,0
"2024-10-30","LAL",104,110,32,49,0.6530612244897959,6,28,0.21428571428571427,0.2222222222222222,28,36,28,9,9,0.5625,0.5806451612903226,0.5,0.36363636363636365,0.5911421052631579,0.5324675324675324,0.6043956043956044,2,2,0.04081632653061224,0,0
"2024-11-01","ORL",101,109,30,57,0.5263157894736842,11,33,0.3333333333333333,0.3333333333333333,16,32,28,30,3,0.5333333333333333,0.5925925925925926,0.9090909090909091,0.36666666666666664,0.5770577777777778,0.5166666666666667,0.5505050505050505,6,4,0.07017543859649122,0,0
"2024-11-02","MIL",95,113,25,50,0.5,18,39,0.46153846153846156,0.46153846153846156,9,20,30,42,12,0.4,0.43478260869565216,0.7777777777777778,0.43820224719101125,0.5521466292134831,0.5842696629213483,0.5947368421052631,4,2,0.04,0,0
"2024-11-04","MIL",100,114,25,51,0.49019607843137253,17,35,0.4857142857142857,0.47058823529411764,13,18,32,36,15,0.36,0.42857142857142855,0.7058823529411765,0.4069767441860465,0.5283487951807229,0.5872093023255814,0.6129032258064516,8,4,0.0784313725490196,0,0
"2024-11-06","NOP",97,122,29,61,0.47540983606557374,13,27,0.48148148148148145,0.48148148148148145,25,24,34,27,12,0.41379310344827586,0.4444444444444444,0.6923076923076923,0.3068181818181818,0.5436397727272727,0.5511363636363636,0.61,4,10,0.16393442622950818,0,0
"2024-11-08","GSW",107,117,34,56,0.6071428571428571,13,42,0.30952380952380953,0.3170731707317073,10,42,26,33,6,0.6176470588235294,0.6363636363636364,0.8461538461538461,0.42857142857142855,0.5854185567010309,0.5459183673469388,0.5625,2,6,0.10714285714285714,1,0.023809523809523808
