"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-24","OKC",98,102,35,65,0.5384615384615384,8,36,0.2222222222222222,0.2222222222222222,8,36,34,15,9,0.5142857142857142,0.5454545454545454,0.625,0.3564356435643564,0.5610460396039604,0.46534653465346537,0.4855769230769231,4,6,0.09230769230769231,1,0.027777777777777776
"2024-10-26","LAC",94,109,28,49,0.5714285714285714,12,33,0.36363636363636365,0.36363636363636365,17,42,14,27,9,0.75,0.75,0.75,0.4024390243902439,0.5290554878048781,0.5609756097560976,0.5989010989010989,0,4,0.08163265306122448,0,0
"2024-10-28","TOR",111,125,39,74,0.527027027027027,10,35,0.2857142857142857,0.30303030303030304,17,42,36,27,3,0.5384615384615384,0.5675675675675675,0.9,0.3211009174311927,0.5564014018691589,0.4954128440366973,0.5296610169491526,4,5,0.06756756756756757,1,0.02857142857142857
"2024-10-29","BKN",106,139,29,44,0.6590909090909091,20,52,0.38461538461538464,0.38461538461538464,21,40,18,51,9,0.6896551724137931,0.7407407407407407,0.85,0.5416666666666666,0.5396427083333334,0.6145833333333334,0.6495327102803738,4,4,0.09090909090909091,0,0
"2024-11-01","MIN",98,119,25,41,0.6097560975609756,18,42,0.42857142857142855,0.42857142857142855,15,38,12,45,9,0.76,0.8260869565217391,0.8333333333333334,0.5060240963855421,0.5608331325301205,0.6265060240963856,0.6538461538461539,4,2,0.04878048780487805,0,0
"2024-11-02","UTA",103,103,19,35,0.5428571428571428,13,42,0.30952380952380953,0.3170731707317073,26,22,16,39,0,0.5789473684210527,0.6111111111111112,1,0.5454545454545454,0.5169960526315789,0.5,0.5666666666666667,2,1,0.02857142857142857,0,0
"2024-11-04","TOR",103,119,34,64,0.53125,13,39,0.3333333333333333,0.3333333333333333,12,52,16,36,3,0.7647058823529411,0.8125,0.9230769230769231,0.3786407766990291,0.5719563106796116,0.5194174757281553,0.5458715596330275,4,10,0.15625,0,0
"2024-11-06","OKC",108,122,28,60,0.4666666666666667,16,40,0.4,0.4,18,28,28,45,3,0.5,0.56,0.9375,0.4,0.577686,0.52,0.5555555555555556,6,6,0.1,0,0
"2024-11-08","MIA",103,122,26,51,0.5098039215686274,20,43,0.46511627906976744,0.46511627906976744,10,34,18,48,12,0.6538461538461539,0.6538461538461539,0.8,0.4574468085106383,0.5511234042553191,0.5957446808510638,0.61,0,5,0.09803921568627451,0,0
"2024-11-10","DAL",98,120,38,57,0.6666666666666666,10,33,0.30303030303030304,0.30303030303030304,14,46,30,18,12,0.6052631578947368,0.6571428571428571,0.6,0.36666666666666664,0.5453983333333333,0.5888888888888889,0.6071428571428571,6,3,0.05263157894736842,2,0.06060606060606061
