"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","IND",98,115,33,52,0.6346153846153846,9,31,0.2903225806451613,0.2903225806451613,22,46,20,27,0,0.696969696969697,0.71875,1,0.37349397590361444,0.5210734939759036,0.5602409638554217,0.6075268817204301,2,2,0.038461538461538464,0,0
"2024-10-25","CLE",99,113,29,48,0.6041666666666666,13,34,0.38235294117647056,0.38235294117647056,16,34,24,33,6,0.5862068965517241,0.6071428571428571,0.8461538461538461,0.4146341463414634,0.5940780487804878,0.5914634146341463,0.6086956521739131,2,5,0.10416666666666667,0,0
"2024-10-26","BOS",97,124,16,42,0.38095238095238093,22,48,0.4583333333333333,0.4583333333333333,26,10,22,42,24,0.3125,0.35714285714285715,0.6363636363636364,0.5333333333333333,0.5166794444444445,0.5444444444444444,0.6029411764705882,4,7,0.16666666666666666,0,0
"2024-10-28","MIA",94,106,23,41,0.5609756097560976,15,47,0.3191489361702128,0.32608695652173914,15,20,26,42,3,0.43478260869565216,0.47619047619047616,0.9333333333333333,0.5340909090909091,0.5833275862068965,0.5170454545454546,0.5463917525773195,4,6,0.14634146341463414,0,0
"2024-10-30","PHI",92,95,25,51,0.49019607843137253,8,28,0.2857142857142857,0.2857142857142857,21,20,30,21,3,0.4,0.43478260869565216,0.875,0.35443037974683544,0.5274981012658227,0.46835443037974683,0.510989010989011,4,4,0.0784313725490196,1,0.03571428571428571
"2024-11-01","NYK",98,128,34,63,0.5396825396825397,18,38,0.47368421052631576,0.47368421052631576,6,36,32,39,15,0.5294117647058824,0.5625,0.7222222222222222,0.37623762376237624,0.533920792079208,0.6039603960396039,0.6153846153846154,4,8,0.12698412698412698,1,0.02631578947368421
"2024-11-03","BKN",92,92,23,40,0.575,9,31,0.2903225806451613,0.2903225806451613,19,30,16,24,3,0.6521739130434783,0.6521739130434783,0.8888888888888888,0.43661971830985913,0.535105633802817,0.5140845070422535,0.5476190476190477,0,6,0.15,0,0
"2024-11-04","LAL",97,103,28,60,0.4666666666666667,9,25,0.36,0.36,20,42,14,21,6,0.75,0.7777777777777778,0.7777777777777778,0.29411764705882354,0.5408564705882353,0.48823529411764705,0.5364583333333334,2,5,0.08333333333333333,0,0
"2024-11-06","CHA",100,108,25,46,0.5434782608695652,14,44,0.3181818181818182,0.3181818181818182,16,26,24,27,15,0.52,0.5652173913043478,0.6428571428571429,0.4888888888888889,0.549053888888889,0.5111111111111111,0.5510204081632653,4,4,0.08695652173913043,0,0
"2024-11-08","ATL",105,121,29,61,0.47540983606557374,15,36,0.4166666666666667,0.42857142857142855,18,36,22,36,9,0.6206896551724138,0.6428571428571429,0.8,0.3711340206185567,0.5231177083333333,0.5309278350515464,0.5654205607476636,2,8,0.13114754098360656,0,0
