"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","POR",108,104,28,58,0.4827586206896552,8,34,0.23529411764705882,0.23529411764705882,24,26,30,24,0,0.4642857142857143,0.52,1,0.3695652173913043,0.5875842391304348,0.43478260869565216,0.49047619047619045,6,5,0.08620689655172414,0,0
"2024-10-25","UTA",102,86,20,50,0.4,9,42,0.21428571428571427,0.21951219512195122,19,20,20,24,3,0.5,0.625,0.8888888888888888,0.45652173913043476,0.5132527472527473,0.3641304347826087,0.4215686274509804,8,6,0.12,0,0
"2024-10-27","LAC",103,112,32,58,0.5517241379310345,10,32,0.3125,0.3125,18,36,28,27,3,0.5625,0.6666666666666666,0.9,0.35555555555555557,0.5120911111111112,0.5222222222222223,0.555,10,5,0.08620689655172414,0,0
"2024-10-29","NOP",95,106,31,52,0.5961538461538461,9,22,0.4090909090909091,0.4090909090909091,17,28,34,27,0,0.45161290322580644,0.4827586206896552,1,0.2972972972972973,0.5179628378378378,0.6013513513513513,0.6402439024390244,4,7,0.1346153846153846,2,0.09090909090909091
"2024-10-30","NOP",93,89,22,54,0.4074074074074074,11,36,0.3055555555555556,0.3142857142857143,12,28,16,30,3,0.6363636363636364,0.7368421052631579,0.9090909090909091,0.4,0.4968286516853933,0.42777777777777776,0.4489795918367347,6,8,0.14814814814814814,1,0.027777777777777776
"2024-11-02","HOU",106,121,29,62,0.46774193548387094,15,45,0.3333333333333333,0.3333333333333333,18,24,34,45,0,0.41379310344827586,0.6,1,0.4205607476635514,0.5382219626168224,0.48130841121495327,0.5127118644067796,18,4,0.06451612903225806,0,0
"2024-11-04","WAS",101,112,32,53,0.6037735849056604,10,43,0.23255813953488372,0.23255813953488372,18,40,24,27,3,0.625,0.6666666666666666,0.9,0.4479166666666667,0.5340697916666667,0.4895833333333333,0.5283018867924528,4,4,0.07547169811320754,3,0.06976744186046512
"2024-11-06","BOS",94,112,19,36,0.5277777777777778,19,54,0.35185185185185186,0.3584905660377358,17,14,24,45,12,0.3684210526315789,0.4117647058823529,0.7894736842105263,0.6,0.5244039325842696,0.5277777777777778,0.5714285714285714,4,3,0.08333333333333333,2,0.037037037037037035
"2024-11-08","CLE",107,136,26,43,0.6046511627906976,20,42,0.47619047619047616,0.47619047619047616,24,34,18,48,12,0.6538461538461539,0.6538461538461539,0.8,0.49411764705882355,0.6002705882352941,0.6588235294117647,0.7010309278350515,0,4,0.09302325581395349,0,0
"2024-11-10","OKC",98,116,31,61,0.5081967213114754,11,33,0.3333333333333333,0.3333333333333333,21,28,34,33,0,0.45161290322580644,0.5,1,0.35106382978723405,0.5464313829787234,0.5053191489361702,0.5476190476190477,6,3,0.04918032786885246,0,0
"2024-11-12","DAL",103,117,33,50,0.66,11,34,0.3235294117647059,0.3235294117647059,18,34,32,27,6,0.5151515151515151,0.53125,0.8181818181818182,0.40476190476190477,0.4836904761904762,0.5892857142857143,0.6223404255319149,2,5,0.1,2,0.058823529411764705
"2024-11-15","MEM",109,118,35,61,0.5737704918032787,7,42,0.16666666666666666,0.175,27,30,40,21,0,0.42857142857142855,0.5172413793103449,1,0.4077669902912621,0.5133232673267326,0.441747572815534,0.4956896551724138,12,5,0.08196721311475409,1,0.023809523809523808
"2024-11-18","LAC",102,102,19,48,0.3958333333333333,16,34,0.47058823529411764,0.47058823529411764,16,26,12,48,0,0.6842105263157895,0.7222222222222222,1,0.4146341463414634,0.5264621951219512,0.524390243902439,0.5604395604395604,2,3,0.0625,1,0.029411764705882353
"2024-11-20","ATL",111,97,23,60,0.38333333333333336,12,45,0.26666666666666666,0.26666666666666666,15,32,14,33,3,0.6956521739130435,0.8,0.9166666666666666,0.42857142857142855,0.49992238095238095,0.3904761904761905,0.41379310344827586,6,7,0.11666666666666667,0,0
"2024-11-22","NOP",98,108,29,53,0.5471698113207547,12,39,0.3076923076923077,0.3076923076923077,14,32,26,36,0,0.5517241379310345,0.6153846153846154,1,0.42391304347826086,0.5327135869565217,0.5108695652173914,0.5294117647058824,6,4,0.07547169811320754,1,0.02564102564102564
"2024-11-23","SAS",91,104,25,38,0.6578947368421053,13,47,0.2765957446808511,0.2765957446808511,15,36,14,33,6,0.72,0.72,0.8461538461538461,0.5529411764705883,0.5744376470588235,0.5235294117647059,0.5531914893617021,0,3,0.07894736842105263,0,0
"2024-11-25","BKN",99,128,21,38,0.5526315789473685,20,45,0.4444444444444444,0.4444444444444444,26,14,28,48,12,0.3333333333333333,0.35,0.8,0.5421686746987951,0.5297608433734939,0.6144578313253012,0.6666666666666666,2,5,0.13157894736842105,0,0
