"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","DET",99,109,29,55,0.5272727272727272,9,33,0.2727272727272727,0.2727272727272727,24,30,28,21,6,0.5172413793103449,0.5769230769230769,0.7777777777777778,0.375,0.5458392045454545,0.48295454545454547,0.5396039603960396,6,8,0.14545454545454545,0,0
"2024-10-25","NYK",96,123,32,57,0.5614035087719298,12,27,0.4444444444444444,0.4444444444444444,23,20,44,27,9,0.3125,0.3225806451612903,0.75,0.32142857142857145,0.5746827380952381,0.5952380952380952,0.634020618556701,2,5,0.08771929824561403,1,0.037037037037037035
"2024-10-27","PHI",107,118,31,56,0.5535714285714286,11,42,0.2619047619047619,0.275,23,14,48,24,9,0.22580645161290322,0.28,0.7272727272727273,0.42857142857142855,0.5117041666666667,0.4846938775510204,0.5223214285714286,12,4,0.07142857142857142,0,0
"2024-10-28","ORL",100,119,26,42,0.6190476190476191,13,41,0.3170731707317073,0.3170731707317073,28,30,22,33,6,0.5769230769230769,0.5769230769230769,0.8461538461538461,0.4939759036144578,0.5669753012048193,0.5481927710843374,0.59,0,4,0.09523809523809523,0,0
"2024-10-30","BOS",116,132,25,52,0.4807692307692308,19,57,0.3333333333333333,0.3333333333333333,25,18,32,42,15,0.36,0.391304347826087,0.7368421052631579,0.5229357798165137,0.5258380733944954,0.4908256880733945,0.532258064516129,4,5,0.09615384615384616,0,0
"2024-11-01","NOP",98,125,37,70,0.5285714285714286,12,31,0.3870967741935484,0.3870967741935484,15,36,38,30,6,0.4864864864864865,0.5142857142857142,0.8333333333333334,0.3069306930693069,0.5599554455445545,0.5445544554455446,0.5740740740740741,4,3,0.04285714285714286,0,0
"2024-11-04","DAL",104,127,31,53,0.5849056603773585,15,36,0.4166666666666667,0.4166666666666667,20,32,30,39,6,0.5161290322580645,0.5161290322580645,0.8666666666666667,0.4044943820224719,0.5516943820224719,0.601123595505618,0.6287128712871287,0,2,0.03773584905660377,1,0.027777777777777776
"2024-11-06","ORL",96,111,35,57,0.6140350877192983,7,25,0.28,0.28,20,38,32,21,0,0.5428571428571428,0.6129032258064516,1,0.3048780487804878,0.5352780487804878,0.5548780487804879,0.6032608695652174,8,3,0.05263157894736842,0,0
"2024-11-08","CHA",93,103,21,40,0.525,17,50,0.34,0.3469387755102041,10,20,22,39,12,0.47619047619047616,0.5,0.7647058823529411,0.5555555555555556,0.5609977528089888,0.5166666666666667,0.5364583333333334,2,4,0.1,0,0
"2024-11-10","NYK",96,121,39,58,0.6724137931034483,7,25,0.28,0.28,22,36,42,15,6,0.46153846153846156,0.5142857142857142,0.7142857142857143,0.30120481927710846,0.52515,0.5963855421686747,0.6451612903225806,8,4,0.06896551724137931,0,0
