"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","PHX",112,116,23,40,0.575,15,38,0.39473684210526316,0.39473684210526316,25,26,20,36,9,0.5652173913043478,0.5909090909090909,0.8,0.48717948717948717,0.5347275641025642,0.5833333333333334,0.6105263157894737,2,0,0,1,0.02631578947368421
"2024-10-26","DEN",95,104,21,52,0.40384615384615385,14,35,0.4,0.4117647058823529,20,18,24,33,9,0.42857142857142855,0.5,0.7857142857142857,0.40229885057471265,0.5524732558139536,0.4827586206896552,0.5202020202020202,6,5,0.09615384615384616,0,0
"2024-10-27","GSW",102,104,24,45,0.5333333333333333,14,43,0.32558139534883723,0.34146341463414637,14,18,30,30,12,0.375,0.4090909090909091,0.7142857142857143,0.48863636363636365,0.5357215116279069,0.5113636363636364,0.5360824742268041,4,1,0.022222222222222223,1,0.023255813953488372
"2024-10-30","POR",93,106,27,59,0.4576271186440678,14,33,0.42424242424242425,0.42424242424242425,10,20,34,27,15,0.37037037037037035,0.4166666666666667,0.6428571428571429,0.358695652173913,0.5480010869565217,0.5217391304347826,0.5463917525773195,6,5,0.0847457627118644,0,0
"2024-10-31","PHX",100,125,24,43,0.5581395348837209,18,39,0.46153846153846156,0.46153846153846156,23,26,22,48,6,0.5416666666666666,0.6190476190476191,0.8888888888888888,0.47560975609756095,0.5452140243902439,0.6219512195121951,0.6578947368421053,6,6,0.13953488372093023,2,0.05128205128205128
"2024-11-02","OKC",100,105,20,45,0.4444444444444444,16,39,0.41025641025641024,0.41025641025641024,17,26,14,36,12,0.65,0.65,0.75,0.4642857142857143,0.5186708333333334,0.5238095238095238,0.5706521739130435,0,6,0.13333333333333333,1,0.02564102564102564
"2024-11-04","SAS",91,104,27,45,0.6,11,41,0.2682926829268293,0.275,17,26,28,27,6,0.48148148148148145,0.5,0.8181818181818182,0.47674418604651164,0.5405364705882353,0.5058139534883721,0.5531914893617021,2,6,0.13333333333333333,1,0.024390243902439025
"2024-11-06","PHI",90,98,33,48,0.6875,7,25,0.28,0.28,11,30,36,12,9,0.45454545454545453,0.45454545454545453,0.5714285714285714,0.3424657534246575,0.5495787671232877,0.5958904109589042,0.6125,0,1,0.020833333333333332,0,0
"2024-11-08","SAC",97,98,34,52,0.6538461538461539,3,26,0.11538461538461539,0.11538461538461539,21,32,36,9,0,0.47058823529411764,0.48484848484848486,1,0.3333333333333333,0.4911211538461539,0.4935897435897436,0.5568181818181818,2,2,0.038461538461538464,0,0
"2024-11-09","TOR",96,103,29,58,0.5,11,37,0.2972972972972973,0.2972972972972973,12,32,26,30,3,0.5517241379310345,0.6666666666666666,0.9090909090909091,0.3894736842105263,0.5500442105263158,0.4789473684210526,0.4951923076923077,10,8,0.13793103448275862,0,0
