"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","ORL",98,116,23,47,0.48936170212765956,18,49,0.3673469387755102,0.3673469387755102,16,24,22,48,6,0.5217391304347826,0.5217391304347826,0.8888888888888888,0.5104166666666666,0.569440625,0.5208333333333334,0.5424528301886793,0,7,0.14893617021276595,1,0.02040816326530612
"2024-10-26","CHA",97,106,26,48,0.5416666666666666,13,41,0.3170731707317073,0.3170731707317073,15,24,28,24,15,0.46153846153846156,0.5,0.6153846153846154,0.4606741573033708,0.5311308988764045,0.5112359550561798,0.5353535353535354,4,6,0.125,0,0
"2024-10-28","DET",96,98,21,53,0.39622641509433965,14,38,0.3684210526315789,0.3684210526315789,14,8,34,30,12,0.19047619047619047,0.25,0.7142857142857143,0.4175824175824176,0.5723461538461538,0.46153846153846156,0.5051546391752577,10,3,0.05660377358490566,0,0
"2024-10-30","NYK",93,116,22,42,0.5238095238095238,18,40,0.45,0.45,18,28,16,48,6,0.6363636363636364,0.7,0.8888888888888888,0.4878048780487805,0.4897048780487805,0.5975609756097561,0.6373626373626373,4,3,0.07142857142857142,0,0
"2024-11-02","WAS",101,98,31,56,0.5535714285714286,7,35,0.2,0.20588235294117646,15,32,30,21,0,0.5161290322580645,0.5333333333333333,1,0.38461538461538464,0.5366361111111111,0.45604395604395603,0.49,2,3,0.05357142857142857,0,0
"2024-11-04","SAC",91,111,34,59,0.576271186440678,10,27,0.37037037037037035,0.37037037037037035,13,30,38,24,6,0.4411764705882353,0.5,0.8,0.313953488372093,0.4765197674418605,0.5697674418604651,0.6098901098901099,8,6,0.1016949152542373,0,0
"2024-11-06","PHX",98,115,24,41,0.5853658536585366,18,43,0.4186046511627907,0.4186046511627907,13,26,22,48,6,0.5416666666666666,0.6190476190476191,0.8888888888888888,0.5119047619047619,0.5267018072289157,0.6071428571428571,0.625,6,3,0.07317073170731707,0,0
"2024-11-08","DEN",102,135,32,46,0.6956521739130435,18,35,0.5142857142857142,0.5294117647058824,17,44,20,45,9,0.6875,0.7586206896551724,0.8333333333333334,0.43209876543209874,0.571568125,0.7283950617283951,0.75,6,1,0.021739130434782608,0,0
"2024-11-10","MIN",97,94,22,43,0.5116279069767442,13,45,0.28888888888888886,0.28888888888888886,11,26,18,27,12,0.5909090909090909,0.7222222222222222,0.6923076923076923,0.5113636363636364,0.5737869318181819,0.4715909090909091,0.5,8,8,0.18604651162790697,1,0.022222222222222223
"2024-11-12","DET",105,123,30,56,0.5357142857142857,13,36,0.3611111111111111,0.3611111111111111,24,44,16,30,9,0.7333333333333333,0.7857142857142857,0.7692307692307693,0.391304347826087,0.5080423913043478,0.5380434782608695,0.5865384615384616,4,3,0.05357142857142857,0,0
"2024-11-15","IND",100,111,30,51,0.5882352941176471,14,35,0.4,0.4,9,32,28,36,6,0.5333333333333333,0.5925925925925926,0.8571428571428571,0.4069767441860465,0.514225,0.5930232558139535,0.6166666666666667,6,1,0.0196078431372549,0,0
"2024-11-17","IND",93,119,31,56,0.5535714285714286,13,29,0.4482758620689655,0.4482758620689655,18,36,26,36,3,0.5806451612903226,0.6206896551724138,0.9230769230769231,0.3411764705882353,0.524104705882353,0.5941176470588235,0.6344086021505376,4,1,0.017857142857142856,0,0
"2024-11-18","PHI",102,89,25,43,0.5813953488372093,10,41,0.24390243902439024,0.2564102564102564,9,30,20,30,0,0.6,0.6,1,0.4880952380952381,0.5811737804878049,0.47619047619047616,0.4943820224719101,0,2,0.046511627906976744,0,0
"2024-11-24","DAL",110,118,34,65,0.5230769230769231,10,40,0.25,0.2564102564102564,20,40,28,27,3,0.5882352941176471,0.6451612903225806,0.9,0.38095238095238093,0.54928125,0.4666666666666667,0.5221238938053098,6,6,0.09230769230769231,0,0
"2024-11-26","MIL",88,106,16,35,0.45714285714285713,20,42,0.47619047619047616,0.47619047619047616,14,18,14,42,18,0.5625,0.6,0.7,0.5454545454545454,0.4915948051948052,0.5974025974025974,0.6235294117647059,2,2,0.05714285714285714,0,0
"2024-11-27","CHA",94,94,20,47,0.425531914893617,17,51,0.3333333333333333,0.3333333333333333,3,20,20,36,15,0.5,0.5263157894736842,0.7058823529411765,0.5204081632653061,0.5089321428571428,0.4642857142857143,0.4603960396039604,2,4,0.0851063829787234,1,0.0196078431372549
"2024-11-29","TOR",95,111,32,51,0.6274509803921569,11,29,0.3793103448275862,0.3793103448275862,14,46,18,33,0,0.71875,0.7931034482758621,1,0.3625,0.577436875,0.60625,0.6306818181818182,6,0,0,0,0
"2024-12-01","TOR",101,119,37,59,0.6271186440677966,10,29,0.3448275862068966,0.3448275862068966,15,40,34,30,0,0.5405405405405406,0.6060606060606061,1,0.32954545454545453,0.5687380681818182,0.5909090909090909,0.6263157894736842,8,4,0.06779661016949153,0,0
"2024-12-02","BOS",96,108,20,34,0.5882352941176471,19,55,0.34545454545454546,0.34545454545454546,11,20,20,45,12,0.5,0.5263157894736842,0.7894736842105263,0.6179775280898876,0.5323921348314606,0.5449438202247191,0.5684210526315789,2,0,0,1,0.01818181818181818
"2024-12-04","LAL",96,93,32,66,0.48484848484848486,5,22,0.22727272727272727,0.22727272727272727,14,50,14,12,3,0.78125,0.78125,0.8,0.25,0.5621886363636364,0.44886363636363635,0.484375,0,5,0.07575757575757576,0,0
"2024-12-07","PHX",95,111,20,41,0.4878048780487805,16,41,0.3902439024390244,0.3902439024390244,23,26,14,48,0,0.65,0.7222222222222222,1,0.5,0.5631457317073171,0.5365853658536586,0.5904255319148937,4,3,0.07317073170731707,1,0.024390243902439025
"2024-12-08","CLE",97,113,27,53,0.5094339622641509,14,33,0.42424242424242425,0.42424242424242425,17,26,28,36,6,0.48148148148148145,0.5,0.8571428571428571,0.38372093023255816,0.5553040697674418,0.5581395348837209,0.601063829787234,2,4,0.07547169811320754,0,0
"2024-12-12","TOR",100,104,30,60,0.5,11,32,0.34375,0.34375,11,40,20,27,6,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.34782608695652173,0.5938353260869565,0.5054347826086957,0.5252525252525253,0,3,0.05,0,0
"2024-12-16","DET",112,125,24,50,0.48,20,40,0.5,0.5,17,32,16,48,12,0.6666666666666666,0.7272727272727273,0.8,0.4444444444444444,0.5183861111111111,0.6,0.62,4,2,0.04,0,0
"2024-12-20","OKC",95,104,25,52,0.4807692307692308,14,34,0.4117647058823529,0.4117647058823529,12,26,24,33,9,0.52,0.5416666666666666,0.7857142857142857,0.3953488372093023,0.49931976744186046,0.5348837209302325,0.5591397849462365,2,3,0.057692307692307696,0,0
