"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","PHI",100,109,33,67,0.4925373134328358,8,31,0.25806451612903225,0.25806451612903225,19,26,40,15,9,0.3939393939393939,0.48148148148148145,0.625,0.3163265306122449,0.5476454081632652,0.45918367346938777,0.49099099099099097,12,9,0.13432835820895522,0,0
"2024-10-25","CHI",106,133,25,49,0.5102040816326531,21,47,0.44680851063829785,0.44680851063829785,20,24,26,54,9,0.48,0.5217391304347826,0.8571428571428571,0.4895833333333333,0.5323921875000001,0.5885416666666666,0.6226415094339622,4,3,0.061224489795918366,0,0
"2024-10-27","BKN",98,115,23,46,0.5,16,45,0.35555555555555557,0.35555555555555557,21,22,24,36,12,0.4782608695652174,0.55,0.75,0.4945054945054945,0.5446923076923077,0.5164835164835165,0.575,6,3,0.06521739130434782,0,0
"2024-10-28","BOS",101,119,25,40,0.625,18,47,0.3829787234042553,0.3829787234042553,15,24,26,36,18,0.48,0.5,0.6666666666666666,0.5402298850574713,0.5151741379310345,0.5977011494252874,0.6263157894736842,2,6,0.15,0,0
"2024-10-31","MEM",103,122,35,54,0.6481481481481481,8,28,0.2857142857142857,0.2857142857142857,28,38,32,21,3,0.5428571428571428,0.5588235294117647,0.875,0.34146341463414637,0.5681146341463414,0.573170731707317,0.6421052631578947,2,4,0.07407407407407407,0,0
"2024-11-02","CLE",95,114,29,53,0.5471698113207547,15,38,0.39473684210526316,0.39473684210526316,11,34,24,42,3,0.5862068965517241,0.68,0.9333333333333333,0.4175824175824176,0.5315873626373627,0.5659340659340659,0.5816326530612245,8,2,0.03773584905660377,1,0.02631578947368421
"2024-11-04","CLE",99,116,29,54,0.5370370370370371,17,37,0.4594594594594595,0.4722222222222222,7,26,32,45,6,0.4482758620689655,0.48148148148148145,0.8823529411764706,0.4065934065934066,0.5859711111111111,0.5989010989010989,0.6041666666666666,4,6,0.1111111111111111,0,0
"2024-11-07","UTA",96,100,16,36,0.4444444444444444,17,41,0.4146341463414634,0.4146341463414634,17,20,12,42,9,0.625,0.6666666666666666,0.8235294117647058,0.5324675324675324,0.5500701298701299,0.538961038961039,0.5952380952380952,2,3,0.08333333333333333,0,0
"2024-11-08","NYK",93,116,29,45,0.6444444444444445,14,46,0.30434782608695654,0.3111111111111111,16,42,16,42,0,0.7241379310344828,0.8076923076923077,1,0.5054945054945055,0.5953211111111111,0.5494505494505495,0.58,6,5,0.1111111111111111,0,0
"2024-11-10","BOS",96,113,16,36,0.4444444444444444,19,50,0.38,0.3877551020408163,24,16,16,57,0,0.5,0.5333333333333333,1,0.5813953488372093,0.5496647058823529,0.5174418604651163,0.5721649484536082,2,8,0.2222222222222222,0,0
"2024-11-12","TOR",97,85,21,61,0.3442622950819672,9,25,0.36,0.36,16,24,18,24,3,0.5714285714285714,0.7058823529411765,0.8888888888888888,0.29069767441860467,0.5611953488372093,0.4011627906976744,0.4473684210526316,8,9,0.14754098360655737,0,0
"2024-11-13","DET",105,120,28,62,0.45161290322580644,18,38,0.47368421052631576,0.47368421052631576,10,34,22,36,18,0.6071428571428571,0.6538461538461539,0.6666666666666666,0.38,0.5595365,0.55,0.5619047619047619,4,9,0.14516129032258066,0,0
"2024-11-16","CHA",94,115,26,51,0.5098039215686274,15,42,0.35714285714285715,0.36585365853658536,18,22,30,42,3,0.4230769230769231,0.5,0.9333333333333333,0.45161290322580644,0.5757451086956522,0.521505376344086,0.558252427184466,8,6,0.11764705882352941,0,0
"2024-11-18","HOU",98,100,31,68,0.45588235294117646,9,32,0.28125,0.28125,11,26,36,18,9,0.41935483870967744,0.4482758620689655,0.6666666666666666,0.32,0.5445945,0.445,0.47619047619047616,4,8,0.11764705882352941,0,0
"2024-11-20","CHI",95,106,24,43,0.5581395348837209,17,45,0.37777777777777777,0.38636363636363635,7,26,22,36,15,0.5416666666666666,0.5416666666666666,0.7058823529411765,0.5113636363636364,0.5265247126436782,0.5625,0.5824175824175825,0,2,0.046511627906976744,0,0
"2024-11-22","IND",104,117,32,57,0.5614035087719298,11,34,0.3235294117647059,0.3333333333333333,20,40,24,30,3,0.625,0.6896551724137931,0.9090909090909091,0.37362637362637363,0.5797922222222223,0.532967032967033,0.5631067961165048,6,4,0.07017543859649122,0,0
"2024-11-23","CHA",102,119,22,53,0.41509433962264153,19,47,0.40425531914893614,0.41304347826086957,18,16,28,42,15,0.36363636363636365,0.38095238095238093,0.7368421052631579,0.47,0.5333484848484848,0.505,0.5458715596330275,2,9,0.16981132075471697,0,0
"2024-11-26","MIA",86,103,25,48,0.5208333333333334,10,29,0.3448275862068966,0.3448275862068966,23,36,14,24,6,0.72,0.782608695652174,0.8,0.37662337662337664,0.5086019480519481,0.5194805194805194,0.5722222222222222,4,6,0.125,1,0.034482758620689655
"2024-11-30","WAS",101,114,32,55,0.5818181818181818,9,32,0.28125,0.28125,23,38,26,15,12,0.59375,0.6551724137931034,0.5555555555555556,0.367816091954023,0.5875632183908046,0.5229885057471264,0.5816326530612245,6,6,0.10909090909090909,0,0
"2024-12-03","DET",102,107,29,54,0.5370370370370371,11,33,0.3333333333333333,0.3333333333333333,16,24,34,30,3,0.41379310344827586,0.46153846153846156,0.9090909090909091,0.3793103448275862,0.5040649425287357,0.5229885057471264,0.5515463917525774,6,4,0.07407407407407407,2,0.06060606060606061
"2024-12-04","ATL",103,119,36,71,0.5070422535211268,9,32,0.28125,0.2903225806451613,20,42,30,24,3,0.5833333333333334,0.7241379310344828,0.8888888888888888,0.3106796116504854,0.5694470588235294,0.48058252427184467,0.5267857142857143,14,4,0.056338028169014086,1,0.03125
"2024-12-06","BOS",93,111,23,34,0.6764705882352942,17,53,0.32075471698113206,0.32075471698113206,14,26,20,42,9,0.5652173913043478,0.5652173913043478,0.8235294117647058,0.6091954022988506,0.5457603448275862,0.5574712643678161,0.5904255319148937,0,2,0.058823529411764705,0,0
