"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-22","BOS",90,132,19,34,0.5588235294117647,29,61,0.47540983606557374,0.47540983606557374,7,26,12,60,27,0.6842105263157895,0.7647058823529411,0.6896551724137931,0.6421052631578947,0.5376673684210527,0.6578947368421053,0.6666666666666666,4,3,0.08823529411764706,0,0
"2024-10-25","IND",95,98,38,53,0.7169811320754716,3,30,0.1,0.10344827586206896,13,50,26,9,0,0.6578947368421053,0.7142857142857143,1,0.3614457831325301,0.5786396341463415,0.5120481927710844,0.532608695652174,6,4,0.07547169811320754,0,0
"2024-10-28","CLE",95,110,27,46,0.5869565217391305,12,36,0.3333333333333333,0.3333333333333333,20,22,32,30,6,0.4074074074074074,0.44,0.8333333333333334,0.43902439024390244,0.5724884146341463,0.5487804878048781,0.5851063829787234,4,3,0.06521739130434782,0,0
"2024-10-30","MIA",94,107,20,41,0.4878048780487805,17,40,0.425,0.425,16,22,18,48,3,0.55,0.5789473684210527,0.9411764705882353,0.49382716049382713,0.4981648148148148,0.5617283950617284,0.5752688172043011,2,4,0.0975609756097561,0,0
"2024-11-01","DET",98,98,30,47,0.6382978723404256,11,34,0.3235294117647059,0.3333333333333333,5,26,34,30,3,0.43333333333333335,0.48148148148148145,0.9090909090909091,0.41975308641975306,0.53859625,0.5740740740740741,0.5903614457831325,6,3,0.06382978723404255,0,0
"2024-11-04","HOU",92,109,35,55,0.6363636363636364,8,33,0.24242424242424243,0.24242424242424243,15,28,42,21,3,0.4,0.4375,0.875,0.375,0.4971818181818182,0.5340909090909091,0.5625,6,4,0.07272727272727272,0,0
"2024-11-06","ATL",99,121,30,62,0.4838709677419355,15,38,0.39473684210526316,0.39473684210526316,16,42,18,30,15,0.7,0.875,0.6666666666666666,0.38,0.5862914141414142,0.525,0.5454545454545454,12,5,0.08064516129032258,0,0
"2024-11-08","MIL",93,94,29,53,0.5471698113207547,7,30,0.23333333333333334,0.23333333333333334,15,28,30,18,3,0.4827586206896552,0.4827586206896552,0.8571428571428571,0.3614457831325301,0.5599319277108434,0.4759036144578313,0.5,0,3,0.05660377358490566,0,0
"2024-11-10","IND",98,132,24,42,0.5714285714285714,21,46,0.45652173913043476,0.45652173913043476,21,24,24,45,18,0.5,0.5454545454545454,0.7142857142857143,0.5227272727272727,0.5288556818181818,0.6306818181818182,0.6632653061224489,4,3,0.07142857142857142,0,0
"2024-11-12","PHI",99,99,17,41,0.4146341463414634,14,42,0.3333333333333333,0.3333333333333333,23,18,16,30,12,0.5294117647058824,0.5294117647058824,0.7142857142857143,0.5060240963855421,0.5435310975609756,0.4578313253012048,0.526595744680851,0,4,0.0975609756097561,1,0.023809523809523808
