"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-24","DEN",97,87,28,60,0.4666666666666667,7,38,0.18421052631578946,0.1891891891891892,10,44,12,21,0,0.7857142857142857,0.88,1,0.3877551020408163,0.5964912371134021,0.39285714285714285,0.4142857142857143,6,12,0.2,1,0.02631578947368421
"2024-10-26","CHI",113,95,17,39,0.4358974358974359,15,53,0.2830188679245283,0.2830188679245283,16,18,16,42,3,0.5294117647058824,0.5625,0.9333333333333333,0.5760869565217391,0.5624586956521739,0.42934782608695654,0.46534653465346537,2,5,0.1282051282051282,0,0
"2024-10-27","ATL",99,104,26,60,0.43333333333333335,10,31,0.3225806451612903,0.3225806451612903,22,28,24,30,0,0.5384615384615384,0.7,1,0.34065934065934067,0.5358076923076923,0.45054945054945056,0.49514563106796117,12,12,0.2,0,0
"2024-10-30","SAS",98,93,23,49,0.46938775510204084,12,36,0.3333333333333333,0.3333333333333333,11,24,22,30,6,0.5217391304347826,0.6,0.8333333333333334,0.4235294117647059,0.5540788235294117,0.4823529411764706,0.5054347826086957,6,6,0.12244897959183673,0,0
"2024-11-01","POR",99,114,24,48,0.5,15,35,0.42857142857142855,0.42857142857142855,21,30,18,36,9,0.625,0.6521739130434783,0.8,0.42168674698795183,0.5070572289156626,0.5602409638554217,0.5894736842105263,2,9,0.1875,0,0
"2024-11-02","LAC",100,92,21,44,0.4772727272727273,11,35,0.3142857142857143,0.3142857142857143,17,26,16,30,3,0.6190476190476191,0.6842105263157895,0.9090909090909091,0.4430379746835443,0.5214322784810127,0.47468354430379744,0.5111111111111111,4,3,0.06818181818181818,0,0
"2024-11-04","ORL",99,86,24,48,0.5,5,34,0.14705882352941177,0.14705882352941177,23,30,18,15,0,0.625,0.6521739130434783,1,0.4146341463414634,0.5609121951219512,0.38414634146341464,0.4521276595744681,2,4,0.08333333333333333,0,0
"2024-11-06","DEN",107,124,26,51,0.5098039215686274,16,38,0.42105263157894735,0.43243243243243246,24,38,14,45,3,0.7307692307692307,0.7916666666666666,0.9375,0.42696629213483145,0.5521926136363636,0.5617977528089888,0.5904761904761905,4,6,0.11764705882352941,0,0
"2024-11-08","HOU",103,107,28,60,0.4666666666666667,11,30,0.36666666666666664,0.36666666666666664,18,22,34,24,9,0.39285714285714285,0.5,0.7272727272727273,0.3333333333333333,0.5190211111111112,0.49444444444444446,0.5297029702970297,12,8,0.13333333333333333,0,0
"2024-11-10","GSW",98,127,24,46,0.5217391304347826,21,43,0.4883720930232558,0.4883720930232558,16,30,18,60,3,0.625,0.7142857142857143,0.9523809523809523,0.48314606741573035,0.5658168539325843,0.6235955056179775,0.635,6,5,0.10869565217391304,1,0.023255813953488372
"2024-11-11","LAC",100,128,24,43,0.5581395348837209,20,37,0.5405405405405406,0.5405405405405406,20,32,16,45,15,0.6666666666666666,0.8,0.75,0.4625,0.563520625,0.675,0.6902173913043478,8,5,0.11627906976744186,0,0
"2024-11-13","NOP",94,88,25,49,0.5102040816326531,9,37,0.24324324324324326,0.24324324324324326,11,26,24,24,3,0.52,0.6190476190476191,0.8888888888888888,0.43023255813953487,0.5172220930232558,0.4476744186046512,0.46774193548387094,8,7,0.14285714285714285,0,0
"2024-11-15","PHX",95,83,13,38,0.34210526315789475,9,37,0.24324324324324326,0.24324324324324326,30,18,8,24,3,0.6923076923076923,0.6923076923076923,0.8888888888888888,0.49333333333333335,0.5262979999999999,0.35333333333333333,0.44148936170212766,0,11,0.2894736842105263,0,0
"2024-11-17","DAL",95,121,29,57,0.5087719298245614,11,27,0.4074074074074074,0.4074074074074074,30,20,38,24,9,0.3448275862068966,0.4,0.7272727272727273,0.32142857142857145,0.5389339285714285,0.5416666666666666,0.605,8,5,0.08771929824561403,0,0
"2024-11-19","SAS",99,110,20,37,0.5405405405405406,19,46,0.41304347826086957,0.41304347826086957,13,38,2,39,18,0.95,0.95,0.6842105263157895,0.5542168674698795,0.5357632530120482,0.5843373493975904,0.6043956043956044,0,4,0.10810810810810811,0,0
"2024-11-20","POR",98,99,17,41,0.4146341463414634,15,38,0.39473684210526316,0.39473684210526316,20,10,24,39,6,0.29411764705882354,0.45454545454545453,0.8666666666666667,0.4810126582278481,0.5541158227848101,0.5,0.5380434782608695,12,8,0.1951219512195122,0,0
"2024-11-25","SAC",98,109,34,55,0.6181818181818182,8,32,0.25,0.25,17,34,34,21,3,0.5,0.5483870967741935,0.875,0.367816091954023,0.483566091954023,0.5287356321839081,0.5618556701030928,6,3,0.05454545454545454,0,0
"2024-11-27","GSW",97,101,19,48,0.3958333333333333,16,50,0.32,0.3333333333333333,15,18,20,48,0,0.47368421052631576,0.5,1,0.5102040816326531,0.49659105263157893,0.4387755102040816,0.47641509433962265,2,7,0.14583333333333334,2,0.04
"2024-11-29","LAL",90,93,22,35,0.6285714285714286,11,38,0.2894736842105263,0.2972972972972973,16,30,14,30,3,0.6818181818181818,0.7142857142857143,0.9090909090909091,0.5205479452054794,0.5147527777777777,0.5273972602739726,0.5609756097560976,2,2,0.05714285714285714,1,0.02631578947368421
"2024-12-01","HOU",98,119,25,55,0.45454545454545453,13,37,0.35135135135135137,0.3611111111111111,30,16,34,36,3,0.32,0.34782608695652173,0.9230769230769231,0.40217391304347827,0.5241714285714285,0.483695652173913,0.5458715596330275,4,4,0.07272727272727272,0,0
"2024-12-03","UTA",95,106,25,35,0.7142857142857143,13,35,0.37142857142857144,0.37142857142857144,17,24,26,27,12,0.48,0.5217391304347826,0.6923076923076923,0.5,0.5551035714285715,0.6357142857142857,0.6625,4,3,0.08571428571428572,0,0
"2024-12-05","TOR",103,92,21,45,0.4666666666666667,11,45,0.24444444444444444,0.24444444444444444,17,30,12,27,6,0.7142857142857143,0.7142857142857143,0.8181818181818182,0.5,0.5600438888888889,0.4166666666666667,0.46,0,11,0.24444444444444444,0,0
"2024-12-07","NOP",100,109,27,42,0.6428571428571429,11,37,0.2972972972972973,0.2972972972972973,22,32,22,27,6,0.5925925925925926,0.6153846153846154,0.8181818181818182,0.46835443037974683,0.5726924050632911,0.5506329113924051,0.6055555555555555,2,3,0.07142857142857142,0,0
"2024-12-10","DAL",100,104,23,44,0.5227272727272727,15,36,0.4166666666666667,0.4166666666666667,13,22,24,42,3,0.4782608695652174,0.5,0.9333333333333333,0.45,0.5453775000000001,0.56875,0.5909090909090909,2,4,0.09090909090909091,1,0.027777777777777776
"2024-12-14","HOU",99,96,24,50,0.48,11,46,0.2391304347826087,0.2391304347826087,15,16,32,27,6,0.3333333333333333,0.38095238095238093,0.8181818181818182,0.4791666666666667,0.536184375,0.421875,0.4439252336448598,6,1,0.02,3,0.06521739130434782
"2024-12-19","ORL",95,99,24,43,0.5581395348837209,11,35,0.3142857142857143,0.3142857142857143,18,30,18,30,3,0.625,0.6521739130434783,0.9090909090909091,0.44871794871794873,0.5232415584415584,0.5192307692307693,0.5561797752808989,2,5,0.11627906976744186,1,0.02857142857142857
"2024-12-20","MIA",96,97,24,43,0.5581395348837209,12,40,0.3,0.3076923076923077,13,20,28,30,6,0.4166666666666667,0.47619047619047616,0.8333333333333334,0.4819277108433735,0.505215243902439,0.5060240963855421,0.5271739130434783,6,4,0.09302325581395349,1,0.025
