"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","MIA",96,97,21,48,0.4375,11,34,0.3235294117647059,0.3235294117647059,22,30,12,27,6,0.7142857142857143,0.75,0.8181818181818182,0.4146341463414634,0.5574621951219512,0.4573170731707317,0.5105263157894737,2,8,0.16666666666666666,0,0
"2024-10-25","BKN",97,101,21,46,0.45652173913043476,14,37,0.3783783783783784,0.3783783783783784,17,20,22,36,6,0.47619047619047616,0.5555555555555556,0.8571428571428571,0.4457831325301205,0.5361313253012048,0.5060240963855421,0.5555555555555556,6,6,0.13043478260869565,1,0.02702702702702703
"2024-10-26","MEM",103,124,33,52,0.6346153846153846,13,34,0.38235294117647056,0.3939393939393939,19,50,16,39,0,0.7575757575757576,0.78125,1,0.3953488372093023,0.561505294117647,0.6104651162790697,0.6473684210526316,2,6,0.11538461538461539,0,0
"2024-10-28","IND",99,115,28,59,0.4745762711864407,13,29,0.4482758620689655,0.4482758620689655,20,32,24,27,12,0.5714285714285714,0.5714285714285714,0.6923076923076923,0.32954545454545453,0.5379267045454545,0.5397727272727273,0.5693069306930693,0,6,0.1016949152542373,0,0
"2024-10-30","CHI",101,102,23,50,0.46,13,34,0.38235294117647056,0.3939393939393939,17,28,18,27,12,0.6086956521739131,0.6363636363636364,0.6923076923076923,0.40476190476190477,0.5676746987951807,0.5059523809523809,0.53125,2,7,0.14,1,0.029411764705882353
"2024-11-01","CLE",101,120,29,49,0.5918367346938775,15,38,0.39473684210526316,0.39473684210526316,17,28,30,33,12,0.4827586206896552,0.5,0.7333333333333333,0.4367816091954023,0.5796816091954022,0.5919540229885057,0.625,2,4,0.08163265306122448,0,0
"2024-11-03","DAL",100,108,32,53,0.6037735849056604,10,32,0.3125,0.3125,14,36,28,21,9,0.5625,0.6206896551724138,0.7,0.3764705882352941,0.5303094117647059,0.5529411764705883,0.5806451612903226,6,4,0.07547169811320754,0,0
"2024-11-04","OKC",101,102,27,54,0.5,12,31,0.3870967741935484,0.3870967741935484,12,26,28,30,6,0.48148148148148145,0.5,0.8333333333333334,0.36470588235294116,0.5414858823529412,0.5294117647058824,0.5543478260869565,2,5,0.09259259259259259,0,0
"2024-11-06","IND",96,118,29,50,0.58,12,26,0.46153846153846156,0.46153846153846156,24,24,34,27,9,0.41379310344827586,0.41379310344827586,0.75,0.34210526315789475,0.5061605263157896,0.618421052631579,0.6629213483146067,0,5,0.1,0,0
"2024-11-08","NOP",96,88,22,53,0.41509433962264153,10,31,0.3225806451612903,0.3225806451612903,14,24,20,18,12,0.5454545454545454,0.6,0.6,0.36904761904761907,0.5048625,0.44047619047619047,0.4782608695652174,4,8,0.1509433962264151,0,0
"2024-11-10","WAS",94,94,23,39,0.5897435897435898,10,33,0.30303030303030304,0.30303030303030304,18,26,20,21,9,0.5652173913043478,0.6190476190476191,0.7,0.4583333333333333,0.5113166666666666,0.5277777777777778,0.5595238095238095,4,4,0.10256410256410256,1,0.030303030303030304
"2024-11-12","CHA",100,89,21,46,0.45652173913043476,13,38,0.34210526315789475,0.35135135135135137,8,20,22,36,3,0.47619047619047616,0.5263157894736842,0.9230769230769231,0.4523809523809524,0.5245343373493976,0.48214285714285715,0.4888888888888889,4,6,0.13043478260869565,1,0.02631578947368421
