"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","MIL",98,124,27,43,0.627906976744186,16,37,0.43243243243243246,0.43243243243243246,22,32,22,33,15,0.5925925925925926,0.64,0.6875,0.4625,0.58113875,0.6375,0.6612903225806451,4,1,0.023255813953488372,1,0.02702702702702703
"2024-10-25","TOR",101,115,29,53,0.5471698113207547,6,23,0.2608695652173913,0.2608695652173913,39,40,18,15,3,0.6896551724137931,0.8,0.8333333333333334,0.3026315789473684,0.5824592105263158,0.5,0.5989583333333334,8,4,0.07547169811320754,1,0.043478260869565216
"2024-10-27","IND",106,114,26,52,0.5,13,32,0.40625,0.41935483870967744,23,34,18,33,6,0.6538461538461539,0.68,0.8461538461538461,0.38095238095238093,0.5144813253012048,0.5416666666666666,0.5757575757575758,2,4,0.07692307692307693,0,0
"2024-10-30","DET",91,105,21,42,0.5,15,36,0.4166666666666667,0.42857142857142855,18,22,20,36,9,0.5238095238095238,0.55,0.8,0.46153846153846156,0.5781084415584415,0.5576923076923077,0.5909090909090909,2,4,0.09523809523809523,0,0
"2024-11-02","MEM",98,124,36,60,0.6,12,27,0.4444444444444444,0.4444444444444444,16,46,26,36,0,0.6388888888888888,0.696969696969697,1,0.3103448275862069,0.5748540229885057,0.6206896551724138,0.634020618556701,6,5,0.08333333333333333,0,0
"2024-11-04","PHX",100,118,31,50,0.62,11,32,0.34375,0.34375,23,28,34,30,3,0.45161290322580644,0.45161290322580644,0.9090909090909091,0.3902439024390244,0.5309560975609756,0.5792682926829268,0.6276595744680851,0,4,0.08,0,0
"2024-11-06","LAC",90,110,29,44,0.6590909090909091,12,28,0.42857142857142855,0.42857142857142855,16,38,20,24,12,0.6551724137931034,0.7037037037037037,0.6666666666666666,0.3888888888888889,0.567325,0.6527777777777778,0.6962025316455697,4,2,0.045454545454545456,0,0
"2024-11-08","LAL",96,116,28,50,0.56,16,35,0.45714285714285713,0.45714285714285713,12,26,30,45,3,0.4642857142857143,0.52,0.9375,0.4117647058823529,0.5378329411764706,0.611764705882353,0.6373626373626373,6,4,0.08,0,0
"2024-11-10","CHA",106,105,22,41,0.5365853658536586,14,54,0.25925925925925924,0.25925925925925924,19,22,22,33,9,0.5,0.55,0.7857142857142857,0.5684210526315789,0.5356942105263157,0.45263157894736844,0.5,4,1,0.024390243902439025,0,0
"2024-11-12","NYK",98,111,35,58,0.603448275862069,9,31,0.2903225806451613,0.3,14,48,22,21,6,0.6857142857142857,0.7272727272727273,0.7777777777777778,0.34831460674157305,0.5545778409090909,0.5449438202247191,0.578125,4,6,0.10344827586206896,0,0
