"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","LAC",113,113,34,63,0.5396825396825397,8,29,0.27586206896551724,0.27586206896551724,21,40,28,21,3,0.5882352941176471,0.625,0.875,0.31521739130434784,0.5536347826086956,0.5,0.5380952380952381,4,9,0.14285714285714285,0,0
"2024-10-25","LAL",101,123,26,48,0.5416666666666666,14,27,0.5185185185185185,0.5185185185185185,29,40,12,39,3,0.7692307692307693,0.8,0.9285714285714286,0.36,0.5824353333333334,0.6266666666666667,0.6542553191489362,2,4,0.08333333333333333,0,0
"2024-10-26","DAL",98,102,24,52,0.46153846153846156,13,41,0.3170731707317073,0.3170731707317073,15,26,22,27,12,0.5416666666666666,0.5652173913043478,0.6923076923076923,0.44086021505376344,0.5248295698924731,0.46774193548387094,0.504950495049505,2,4,0.07692307692307693,0,0
"2024-10-28","LAL",95,105,25,62,0.4032258064516129,14,32,0.4375,0.4666666666666667,13,28,22,33,9,0.56,0.6363636363636364,0.7857142857142857,0.3404255319148936,0.5099369565217391,0.48936170212765956,0.525,6,11,0.1774193548387097,0,0
"2024-10-31","LAC",99,119,33,58,0.5689655172413793,12,35,0.34285714285714286,0.34285714285714286,17,38,28,24,12,0.5757575757575758,0.6129032258064516,0.6666666666666666,0.3763440860215054,0.5466559139784946,0.5483870967741935,0.5784313725490197,4,4,0.06896551724137931,0,0
"2024-11-02","POR",102,97,23,68,0.3382352941176471,14,43,0.32558139534883723,0.32558139534883723,9,12,34,33,9,0.2608695652173913,0.3333333333333333,0.7857142857142857,0.38738738738738737,0.5140536036036036,0.3963963963963964,0.42543859649122806,10,8,0.11764705882352941,0,0
"2024-11-04","PHI",100,116,20,36,0.5555555555555556,20,51,0.39215686274509803,0.39215686274509803,16,22,18,48,12,0.55,0.55,0.8,0.5862068965517241,0.5347614942528736,0.5747126436781609,0.6170212765957447,0,4,0.1111111111111111,0,0
"2024-11-06","MIA",97,112,27,58,0.46551724137931033,13,34,0.38235294117647056,0.38235294117647056,19,32,22,33,6,0.5925925925925926,0.5925925925925926,0.8461538461538461,0.3695652173913043,0.5380347826086956,0.5054347826086957,0.555,0,6,0.10344827586206896,0,0
"2024-11-08","DAL",90,113,30,47,0.6382978723404256,11,33,0.3333333333333333,0.3333333333333333,20,20,40,24,9,0.3333333333333333,0.37037037037037035,0.7272727272727273,0.4125,0.537573417721519,0.58125,0.6348314606741573,6,1,0.02127659574468085,1,0.030303030303030304
"2024-11-10","SAC",113,127,39,65,0.6,11,37,0.2972972972972973,0.3055555555555556,16,26,52,30,3,0.3333333333333333,0.35135135135135137,0.9090909090909091,0.3627450980392157,0.5334118811881188,0.5441176470588235,0.5825688073394495,4,3,0.046153846153846156,0,0
"2024-11-12","UTA",94,112,30,54,0.5555555555555556,15,38,0.39473684210526316,0.39473684210526316,7,38,22,39,6,0.6333333333333333,0.7307692307692307,0.8666666666666667,0.41304347826086957,0.5085070652173913,0.5706521739130435,0.5833333333333334,8,11,0.2037037037037037,0,0
"2024-11-13","SAC",96,127,35,50,0.7,15,28,0.5357142857142857,0.5357142857142857,12,46,24,45,0,0.6571428571428571,0.6571428571428571,1,0.358974358974359,0.5364205128205128,0.7371794871794872,0.7383720930232558,0,2,0.04,0,0
"2024-11-15","OKC",96,99,26,51,0.5098039215686274,10,40,0.25,0.25,17,24,28,27,3,0.46153846153846156,0.5,0.9,0.43956043956043955,0.5528417582417582,0.45054945054945056,0.5,4,3,0.058823529411764705,1,0.025
"2024-11-17","MIN",95,120,25,41,0.6097560975609756,17,39,0.4358974358974359,0.4358974358974359,19,24,26,45,6,0.48,0.5217391304347826,0.8823529411764706,0.4875,0.535078125,0.63125,0.6593406593406593,4,2,0.04878048780487805,0,0
"2024-11-18","ORL",88,109,28,47,0.5957446808510638,11,29,0.3793103448275862,0.3793103448275862,20,38,18,27,6,0.6785714285714286,0.76,0.8181818181818182,0.3815789473684211,0.5501578947368421,0.5855263157894737,0.6337209302325582,6,2,0.0425531914893617,0,0
"2024-11-20","NYK",101,138,31,47,0.6595744680851063,19,39,0.48717948717948717,0.5,19,32,30,42,15,0.5161290322580645,0.5517241379310345,0.7368421052631579,0.45348837209302323,0.5401758823529411,0.6918604651162791,0.7135416666666666,4,2,0.0425531914893617,0,0
"2024-11-26","LAL",100,100,29,51,0.5686274509803921,8,34,0.23529411764705882,0.23529411764705882,18,34,24,24,0,0.5862068965517241,0.6538461538461539,1,0.4,0.5417564705882353,0.4823529411764706,0.515625,6,3,0.058823529411764705,0,0
"2024-11-27","BKN",102,127,26,45,0.5777777777777777,18,42,0.42857142857142855,0.42857142857142855,21,30,22,51,3,0.5769230769230769,0.6521739130434783,0.9444444444444444,0.4827586206896552,0.5341758620689655,0.6091954022988506,0.6494845360824743,6,4,0.08888888888888889,1,0.023809523809523808
"2024-11-30","GSW",98,105,24,52,0.46153846153846156,14,40,0.35,0.35,15,28,20,42,0,0.5833333333333334,0.6363636363636364,1,0.43478260869565216,0.5532796703296703,0.4891304347826087,0.5303030303030303,4,8,0.15384615384615385,1,0.025
"2024-12-03","SAS",99,93,27,56,0.48214285714285715,8,44,0.18181818181818182,0.18181818181818182,15,38,16,21,3,0.7037037037037037,0.76,0.875,0.44,0.516586,0.39,0.4386792452830189,4,5,0.08928571428571429,0,0
"2024-12-05","NOP",102,126,33,59,0.559322033898305,14,36,0.3888888888888889,0.3888888888888889,18,28,38,27,15,0.42424242424242425,0.45161290322580644,0.6428571428571429,0.37894736842105264,0.5570431578947368,0.5684210526315789,0.5961538461538461,4,3,0.05084745762711865,0,0
"2024-12-07","MIA",94,121,32,54,0.5925925925925926,13,32,0.40625,0.41935483870967744,18,36,28,36,3,0.5625,0.6,0.9230769230769231,0.37209302325581395,0.5931735294117647,0.5988372093023255,0.625,4,2,0.037037037037037035,1,0.03125
"2024-12-08","ORL",97,115,30,52,0.5769230769230769,12,36,0.3333333333333333,0.35294117647058826,19,20,40,21,15,0.3333333333333333,0.43478260869565216,0.5833333333333334,0.4090909090909091,0.550928488372093,0.5454545454545454,0.5637254901960784,14,5,0.09615384615384616,1,0.027777777777777776
"2024-12-13","UTA",94,126,21,38,0.5526315789473685,22,39,0.5641025641025641,0.5789473684210527,18,24,18,54,12,0.5714285714285714,0.5714285714285714,0.8181818181818182,0.5064935064935064,0.514242105263158,0.7012987012987013,0.7241379310344828,0,6,0.15789473684210525,1,0.02564102564102564
"2024-12-15","POR",98,109,27,45,0.6,15,49,0.30612244897959184,0.30612244897959184,10,34,20,39,6,0.6296296296296297,0.7727272727272727,0.8666666666666667,0.5212765957446809,0.5415763440860215,0.526595744680851,0.545,10,2,0.044444444444444446,0,0
"2024-12-19","IND",103,120,23,48,0.4791666666666667,16,41,0.3902439024390244,0.3902439024390244,26,34,12,39,9,0.7391304347826086,0.8095238095238095,0.8125,0.4606741573033708,0.5198825842696629,0.5280898876404494,0.5776699029126213,4,4,0.08333333333333333,0,0
"2024-12-21","DET",101,133,30,50,0.6,19,39,0.48717948717948717,0.48717948717948717,16,34,26,42,15,0.5666666666666667,0.6071428571428571,0.7368421052631579,0.43820224719101125,0.5287386363636364,0.6573033707865169,0.6717171717171717,4,1,0.02,0,0
"2024-12-23","DEN",93,117,30,49,0.6122448979591837,16,41,0.3902439024390244,0.4,9,42,18,42,6,0.7,0.7777777777777778,0.875,0.45555555555555555,0.5253454545454546,0.6,0.6223404255319149,6,5,0.10204081632653061,0,0
"2024-12-25","DEN",91,100,28,49,0.5714285714285714,8,29,0.27586206896551724,0.2857142857142857,20,28,28,18,6,0.5,0.6086956521739131,0.75,0.3717948717948718,0.5201766233766234,0.5128205128205128,0.5555555555555556,10,4,0.08163265306122448,0,0
