"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","GSW",109,139,28,45,0.6222222222222222,20,48,0.4166666666666667,0.4166666666666667,23,46,10,45,15,0.8214285714285714,0.8518518518518519,0.75,0.5161290322580645,0.6183161290322581,0.6236559139784946,0.6495327102803738,2,4,0.08888888888888889,0,0
"2024-10-25","NOP",101,105,24,54,0.4444444444444444,12,32,0.375,0.375,21,32,16,27,9,0.6666666666666666,0.6956521739130435,0.75,0.37209302325581395,0.5328087209302326,0.4883720930232558,0.515,2,10,0.18518518518518517,1,0.03125
"2024-10-27","NOP",96,103,30,59,0.5084745762711864,8,29,0.27586206896551724,0.27586206896551724,19,34,26,21,3,0.5666666666666667,0.68,0.875,0.32954545454545453,0.5363729885057471,0.4772727272727273,0.5151515151515151,10,7,0.11864406779661017,1,0.034482758620689655
"2024-10-28","SAC",97,111,23,46,0.5,14,35,0.4,0.4,23,22,24,42,0,0.4782608695652174,0.5,1,0.43209876543209874,0.5140907407407408,0.5432098765432098,0.6032608695652174,2,4,0.08695652173913043,0,0
"2024-10-30","LAC",94,105,28,54,0.5185185185185185,13,36,0.3611111111111111,0.3611111111111111,10,32,24,30,9,0.5714285714285714,0.5925925925925926,0.7692307692307693,0.4,0.5422488888888889,0.5277777777777778,0.5357142857142857,2,5,0.09259259259259259,1,0.027777777777777776
"2024-11-01","OKC",100,137,32,46,0.6956521739130435,19,49,0.3877551020408163,0.3877551020408163,16,32,32,45,12,0.5,0.5517241379310345,0.7894736842105263,0.5157894736842106,0.5226605263157894,0.6368421052631579,0.6586538461538461,6,5,0.10869565217391304,0,0
"2024-11-02","PHX",101,103,18,41,0.43902439024390244,17,52,0.3269230769230769,0.3269230769230769,16,26,10,48,3,0.7222222222222222,0.7222222222222222,0.9411764705882353,0.5591397849462365,0.5177385869565218,0.46774193548387094,0.49514563106796117,0,4,0.0975609756097561,1,0.019230769230769232
"2024-11-04","NOP",93,100,28,49,0.5714285714285714,10,35,0.2857142857142857,0.2857142857142857,14,36,20,18,12,0.6428571428571429,0.6428571428571429,0.6,0.4166666666666667,0.5100380952380953,0.5119047619047619,0.5439560439560439,0,3,0.061224489795918366,2,0.05714285714285714
"2024-11-07","SAS",92,118,28,43,0.6511627906976745,16,39,0.41025641025641024,0.41025641025641024,14,40,16,45,3,0.7142857142857143,0.7142857142857143,0.9375,0.47560975609756095,0.5968554878048781,0.6341463414634146,0.6428571428571429,0,3,0.06976744186046512,0,0
"2024-11-08","MIN",102,127,25,47,0.5319148936170213,22,50,0.44,0.4489795918367347,11,34,16,45,21,0.68,0.7727272727272727,0.6818181818181818,0.5154639175257731,0.5577489583333334,0.5979381443298969,0.616504854368932,6,7,0.14893617021276595,0,0
