"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-24","DAL",104,120,23,58,0.39655172413793105,19,44,0.4318181818181818,0.4318181818181818,17,24,22,45,12,0.5217391304347826,0.7058823529411765,0.7894736842105263,0.43137254901960786,0.545296568627451,0.5049019607843137,0.5357142857142857,12,5,0.08620689655172414,0,0
"2024-10-26","HOU",95,106,25,51,0.49019607843137253,13,41,0.3170731707317073,0.3170731707317073,17,26,24,24,15,0.52,0.5416666666666666,0.6153846153846154,0.44565217391304346,0.5480625,0.483695652173913,0.525,2,7,0.13725490196078433,0,0
"2024-10-28","HOU",92,106,20,48,0.4166666666666667,15,37,0.40540540540540543,0.40540540540540543,21,20,20,30,15,0.5,0.5555555555555556,0.6666666666666666,0.43529411764705883,0.5608041176470587,0.5,0.5520833333333334,4,5,0.10416666666666667,1,0.02702702702702703
"2024-10-30","OKC",99,105,24,48,0.5,17,41,0.4146341463414634,0.4146341463414634,6,22,26,51,0,0.4583333333333333,0.4583333333333333,1,0.4606741573033708,0.5601876404494381,0.5561797752808989,0.5645161290322581,0,4,0.08333333333333333,2,0.04878048780487805
"2024-10-31","UTA",99,88,25,50,0.5,7,32,0.21875,0.21875,17,26,24,18,3,0.52,0.5416666666666666,0.8571428571428571,0.3902439024390244,0.5095347560975609,0.4329268292682927,0.4835164835164835,2,7,0.14,0,0
"2024-11-02","MIN",95,103,28,45,0.6222222222222222,11,37,0.2972972972972973,0.2972972972972973,14,22,34,30,3,0.39285714285714285,0.4230769230769231,0.9090909090909091,0.45121951219512196,0.6015768292682927,0.5426829268292683,0.5666666666666667,4,4,0.08888888888888889,1,0.02702702702702703
"2024-11-04","LAC",90,113,22,53,0.41509433962264153,19,37,0.5135135135135135,0.5135135135135135,12,20,24,45,12,0.45454545454545453,0.5263157894736842,0.7894736842105263,0.4111111111111111,0.5305861111111111,0.5611111111111111,0.5885416666666666,6,10,0.18867924528301888,0,0
"2024-11-06","HOU",101,127,44,69,0.6376811594202898,10,27,0.37037037037037035,0.37037037037037035,9,42,46,21,9,0.4772727272727273,0.5121951219512195,0.7,0.28125,0.5194890625,0.6145833333333334,0.6225490196078431,6,5,0.07246376811594203,1,0.037037037037037035
"2024-11-07","POR",93,105,32,54,0.5925925925925926,9,32,0.28125,0.2903225806451613,14,34,30,18,9,0.53125,0.5666666666666667,0.6666666666666666,0.37209302325581395,0.5722411764705883,0.5290697674418605,0.546875,4,4,0.07407407407407407,0,0
"2024-11-09","UTA",102,111,28,49,0.5714285714285714,10,33,0.30303030303030304,0.30303030303030304,25,30,26,24,6,0.5357142857142857,0.5769230769230769,0.8,0.4024390243902439,0.5665310975609756,0.524390243902439,0.578125,4,8,0.16326530612244897,2,0.06060606060606061
