"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-24","BOS",103,122,25,45,0.5555555555555556,17,45,0.37777777777777777,0.37777777777777777,21,20,30,33,18,0.4,0.5,0.6470588235294118,0.5,0.5385655555555555,0.5611111111111111,0.5980392156862745,10,6,0.13333333333333333,0,0
"2024-10-26","CLE",105,135,29,49,0.5918367346938775,18,39,0.46153846153846156,0.46153846153846156,23,32,26,33,21,0.5517241379310345,0.5517241379310345,0.6111111111111112,0.4431818181818182,0.5350647727272727,0.6363636363636364,0.6553398058252428,0,7,0.14285714285714285,2,0.05128205128205128
"2024-10-28","ATL",105,119,24,41,0.5853658536585366,15,40,0.375,0.38461538461538464,26,38,10,39,6,0.7916666666666666,0.8636363636363636,0.8666666666666667,0.49382716049382713,0.5687240506329114,0.5740740740740741,0.6082474226804123,4,3,0.07317073170731707,0,0
"2024-10-30","ATL",105,120,33,56,0.5892857142857143,12,39,0.3076923076923077,0.3157894736842105,18,38,28,27,9,0.5757575757575758,0.6333333333333333,0.75,0.4105263157894737,0.5400457446808511,0.5368421052631579,0.5769230769230769,6,5,0.08928571428571429,0,0
"2024-11-02","MIA",101,118,28,65,0.4307692307692308,15,37,0.40540540540540543,0.40540540540540543,17,14,42,36,9,0.25,0.3181818181818182,0.8,0.3627450980392157,0.521639705882353,0.4950980392156863,0.5178571428571429,12,9,0.13846153846153847,1,0.02702702702702703
"2024-11-04","GSW",102,125,32,60,0.5333333333333333,12,37,0.32432432432432434,0.32432432432432434,25,36,28,33,3,0.5625,0.6206896551724138,0.9166666666666666,0.38144329896907214,0.5281840206185566,0.5154639175257731,0.5585585585585585,6,7,0.11666666666666667,1,0.02702702702702703
"2024-11-08","MEM",104,128,32,54,0.5925925925925926,14,43,0.32558139534883723,0.3333333333333333,22,36,28,36,6,0.5625,0.6,0.8571428571428571,0.44329896907216493,0.5672614583333333,0.5463917525773195,0.5981308411214953,4,8,0.14814814814814814,0,0
"2024-11-10","ORL",93,121,24,43,0.5581395348837209,17,48,0.3541666666666667,0.3541666666666667,22,22,26,42,9,0.4583333333333333,0.5238095238095238,0.8235294117647058,0.5274725274725275,0.5363076923076924,0.5439560439560439,0.5891089108910891,6,7,0.16279069767441862,0,0
"2024-11-11","HOU",99,107,35,64,0.546875,5,23,0.21739130434782608,0.21739130434782608,22,22,48,6,9,0.3142857142857143,0.3548387096774194,0.4,0.26436781609195403,0.5479494252873564,0.4885057471264368,0.5353535353535354,8,5,0.078125,0,0
"2024-11-13","SAS",108,139,30,48,0.625,18,44,0.4090909090909091,0.4090909090909091,25,42,18,51,3,0.7,0.7,0.9444444444444444,0.4782608695652174,0.5589657608695652,0.6195652173913043,0.6495327102803738,0,5,0.10416666666666667,0,0
