"Name","Season","GamesPlayed","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"NOP","2016-17",82,8075,8556,2442,4934,0.4949331171463316,768,2196,0.34972677595628415,0.3522935779816514,1368,2456,2428,1923,381,0.5028665028665029,0.5381244522348817,0.8346354166666666,0.30799438990182326,0.5055262524627075,0.5040673211781206,0.5385004425338222,320,336,0.06809890555330361,12,0.00546448087431694
"CHI","2016-17",82,7844,8435,2546,5311,0.4793824138580305,623,1831,0.3402512288367013,0.3426842684268427,1474,2612,2480,1635,234,0.5129615082482325,0.5653679653679654,0.8747993579454254,0.256370764491739,0.49568287700084246,0.4873284794175301,0.5286379657603223,472,360,0.06778384485031068,18,0.009830693610049153
"CLE","2016-17",82,7927,9048,2208,4184,0.5277246653919694,1067,2779,0.3839510615329255,0.3861744480636989,1431,1946,2470,2655,546,0.44067028985507245,0.4689156626506024,0.8294283036551078,0.39910957920436596,0.5345509084354723,0.546962516156829,0.5791843561044642,266,334,0.07982791586998088,15,0.0053976250449802084
"CHA","2015-16",82,7878,8479,2163,4512,0.47938829787234044,873,2410,0.3622406639004149,0.3634847853272197,1534,2086,2240,2205,414,0.48220064724919093,0.5181321410829608,0.8419243986254296,0.3481652701531349,0.5103161068481251,0.5016613695463739,0.5427707743761255,300,433,0.09596631205673758,15,0.006224066390041493
"ATL","2015-16",82,7985,8433,2353,4597,0.5118555579725909,815,2326,0.35038693035253654,0.35179575941151014,1282,2740,1966,2190,255,0.5822354441138972,0.6113342257920571,0.8957055214723927,0.33598151090567674,0.5331977246376811,0.5164668496316626,0.5496528232673916,224,401,0.08723080269741136,10,0.004299226139294927
"DAL","2016-17",82,7588,8029,2090,4277,0.48866027589431843,878,2473,0.35503437120905784,0.3579290664492458,1215,1982,2198,2142,492,0.47416267942583734,0.4989929506545821,0.8132118451025057,0.36637037037037035,0.4975854327781083,0.5047407407407407,0.5387680669998649,208,260,0.060790273556231005,20,0.008087343307723413
"DEN","2016-17",82,8086,9161,2507,4829,0.5191551045765169,870,2365,0.3678646934460888,0.371160409556314,1537,2638,2376,2274,336,0.5261268448344635,0.5797802197802198,0.871264367816092,0.3287461773700306,0.5203312369119084,0.5298860161245482,0.5664183736809435,464,401,0.08303996686684614,3,0.0012684989429175475
"HOU","2018-19",82,8062,9341,1895,3442,0.5505520046484602,1323,3721,0.3555495834453104,0.35633423180592994,1582,1826,1964,2484,1485,0.48179419525065964,0.5211187214611872,0.6258503401360545,0.5194750802736283,0.5265955168555043,0.5416026804411559,0.5812891113892366,286,330,0.09587449157466589,39,0.010481053480247245
"MIA","2018-19",82,8014,8668,2323,4560,0.5094298245614035,928,2658,0.3491346877351392,0.3512898330804249,1238,2348,2298,2451,333,0.5053809728798967,0.5585156993339676,0.8803879310344828,0.36824605153782214,0.5159764010568767,0.5146855084510945,0.5406015037593985,442,368,0.08070175438596491,21,0.007900677200902935
"MEM","2018-19",82,7939,8490,2302,4556,0.5052677787532923,811,2368,0.3424831081081081,0.3446663833404165,1453,2586,2018,2010,423,0.5616854908774979,0.6064727954971857,0.8261405672009864,0.341998844598498,0.5121387874837028,0.50816002310803,0.5457423439720894,340,381,0.08362598770851624,21,0.008868243243243243
"ORL","2019-20",73,7173,7831,2064,4114,0.5017015070491007,807,2354,0.34282073067119795,0.3463687150837989,1282,2108,2020,2079,342,0.5106589147286822,0.5603402445507709,0.8587360594795539,0.36394557823129253,0.5084615097856477,0.5062615955473099,0.5437630662020906,366,306,0.0743801652892562,32,0.013593882752761258
"GSW","2019-20",65,6551,6912,1832,3698,0.49540292049756623,678,2032,0.33366141732283466,0.33630952380952384,1214,2186,1478,1710,324,0.5966157205240175,0.6425631981187536,0.8407079646017699,0.35462478184991275,0.5042369786189975,0.49720767888307155,0.5396800501882058,262,298,0.0805840995132504,23,0.011318897637795276
"HOU","2019-20",72,7473,8482,1810,3251,0.556751768686558,1126,3261,0.3452928549524686,0.34615384615384615,1484,1556,2064,2337,1041,0.4298342541436464,0.462819750148721,0.6918294849023091,0.5007678132678133,0.5421028800246419,0.5373157248157249,0.5788498490255284,258,316,0.09720086127345433,38,0.011652867218644588
"MIL","2019-20",73,7667,8663,2153,3798,0.5668773038441285,1007,2840,0.3545774647887324,0.3558303886925795,1336,2144,2162,2451,570,0.4979098931723177,0.5416877210712481,0.8113207547169812,0.4278397107562519,0.5294435858738303,0.5518981620970171,0.5834234721471065,348,303,0.07977883096366509,23,0.008098591549295774
"MEM","2015-16",82,7688,8126,2515,5338,0.4711502435369052,504,1521,0.33136094674556216,0.33489304812834225,1584,2526,2504,1302,210,0.5021868787276342,0.5541904344010531,0.8611111111111112,0.2217524420469456,0.5000474740079075,0.47689167517130776,0.5206611570247934,472,461,0.08636193330835519,8,0.005259697567389875
"WAS","2015-16",82,8078,8534,2529,5050,0.5007920792079208,709,1983,0.35753908219868885,0.3597560975609756,1349,2772,2286,1857,270,0.5480427046263345,0.575103734439834,0.8730606488011283,0.28195649082894925,0.5151215948029697,0.5108061993459405,0.5424648786717752,238,343,0.06792079207920793,13,0.006555723651033787
"BOS","2018-19",82,8184,9216,2419,4594,0.5265563778841967,1032,2829,0.3647932131495228,0.36569808646350105,1282,2548,2290,2643,453,0.5266639107069037,0.5667259786476868,0.8536821705426356,0.38111275764515695,0.5119800579983814,0.5344200458035835,0.5654476049747568,342,303,0.06595559425337397,14,0.00494874513962531
"IND","2018-19",82,8004,8857,2611,5054,0.5166204986149584,779,2081,0.3743392599711677,0.3760270662155631,1298,2910,2312,2019,318,0.5572577556491766,0.6116015132408575,0.8639281129653402,0.29166082690960055,0.5128923774062105,0.5297126839523476,0.5591370558375635,464,412,0.0815195884447962,13,0.006246996636232581
"MIL","2018-19",82,8451,9686,2450,4337,0.564906617477519,1105,3134,0.35258455647734527,0.3539397821909033,1471,2448,2452,2736,579,0.4995918367346939,0.535198950590293,0.8253393665158371,0.41948868959978586,0.5374142301502146,0.549792531120332,0.58313194780087,326,377,0.08692644685266313,18,0.00574345883854499
"ATL","2016-17",82,8017,8459,2394,4781,0.5007320644216691,729,2137,0.341132428638278,0.3437057991513437,1484,2594,2194,1923,264,0.5417710944026733,0.5887426236949614,0.879286694101509,0.3089043076033536,0.527154557329463,0.5041196877710321,0.5386729736640246,382,404,0.08450115038694833,20,0.009358914365933552
"TOR","2018-19",82,8254,9384,2445,4534,0.539258932509925,1015,2771,0.36629375676651027,0.3685548293391431,1449,2440,2450,2595,450,0.49897750511247446,0.541981341625944,0.8522167487684729,0.3793292265571526,0.5144792410101565,0.5431211498973306,0.5789049919484702,388,343,0.0756506396118218,25,0.009022013713460845
"GSW","2018-19",82,8300,9650,2525,4537,0.5565351553890235,1087,2824,0.38491501416430596,0.38708526578665714,1339,3080,1970,2619,642,0.6099009900990099,0.6478754732856542,0.8031278748850046,0.38364352669474255,0.5086361751466376,0.5645292759135987,0.595724907063197,296,279,0.06149437954595548,16,0.0056657223796034
"PHI","2018-19",82,8361,9445,2518,4758,0.5292139554434636,889,2474,0.3593371059013743,0.36108854589764416,1742,2748,2288,2499,168,0.545671167593328,0.5950627977479428,0.937007874015748,0.3420907079646018,0.5117557481625294,0.5325636061946902,0.5719411335441499,418,324,0.06809583858764187,12,0.004850444624090542
